velocity_vertical,velocity_horizontal,velocity_axial,timestamp
0.054999999701976776,0.04600000008940697,0.05900000035762787,2023-12-01 00:00:02
0.0430000014603138,0.04899999871850014,0.057999998331069946,2023-12-01 00:01:02
0.03999999910593033,0.04600000008940697,0.06700000166893005,2023-12-01 00:02:02
0.04899999871850014,0.04600000008940697,0.050999999046325684,2023-12-01 00:03:02
0.03700000047683716,0.0560000017285347,0.04100000113248825,2023-12-01 00:04:02
0.06599999964237213,0.04899999871850014,0.057999998331069946,2023-12-01 00:05:02
0.06199999898672104,0.04800000041723251,0.05900000035762787,2023-12-01 00:06:02
0.0729999989271164,0.04100000113248825,0.0689999982714653,2023-12-01 00:07:02
0.028999999165534973,0.0430000014603138,0.057999998331069946,2023-12-01 00:08:02
0.039000000804662704,0.03500000014901161,0.0729999989271164,2023-12-01 00:09:02
0.0860000029206276,0.04500000178813934,0.05999999865889549,2023-12-01 00:10:02
0.07999999821186066,0.05299999937415123,0.057999998331069946,2023-12-01 00:11:02
0.06499999761581421,0.04699999839067459,0.06300000101327896,2023-12-01 00:12:02
0.04100000113248825,0.04399999976158142,0.07400000095367432,2023-12-01 00:13:02
0.04500000178813934,0.04399999976158142,0.04899999871850014,2023-12-01 00:14:02
0.04699999839067459,0.04899999871850014,0.05999999865889549,2023-12-01 00:15:02
0.06499999761581421,0.03099999949336052,0.05000000074505806,2023-12-01 00:16:02
0.03500000014901161,0.03099999949336052,0.06499999761581421,2023-12-01 00:17:02
0.039000000804662704,0.04100000113248825,0.0689999982714653,2023-12-01 00:18:02
0.05000000074505806,0.04899999871850014,0.10199999809265137,2023-12-01 00:19:02
0.0560000017285347,0.03400000184774399,0.0689999982714653,2023-12-01 00:20:02
0.04800000041723251,0.032999999821186066,0.05999999865889549,2023-12-01 00:21:02
0.035999998450279236,0.04800000041723251,0.07699999958276749,2023-12-01 00:22:02
0.052000001072883606,0.04399999976158142,0.07199999690055847,2023-12-01 00:23:02
0.04100000113248825,0.03999999910593033,0.06700000166893005,2023-12-01 00:24:02
0.0560000017285347,0.04500000178813934,0.06800000369548798,2023-12-01 00:25:02
