spot_id,sensor_id,spot_name,alarm_status,gateway_id,battery_level,connection_status
219,NG00218,PM1_ MANCAL AV LA,RED,GT00000046,100,connected
220,NG00219,PM2_ MANCAL BV LA,YELLOW,GT00000046,100,connected
221,NG00220,PM3_ MANCAL BV LOA (1),GREEN,GT00000046,100,connected
222,NG00221,PM4_ MANCAL BV LOA (2),GREEN,GT00000046,100,connected
